# [1]Quality	[2]Number of sites	[3]Marginal Ts/Tv
998	112	1.113208
991	157	2.461538
565	202	2.000000
423	246	2.384615
343	292	2.066667
285	337	1.812500
237	382	1.368421
211	428	1.190476
186	473	2.000000
162	521	2.428571
150	569	2.200000
125	613	2.384615
111	657	1.750000
94	705	2.200000
81	749	1.750000
66	794	1.647059
46	845	1.550000
39	871	0.625000
