# [1]Allele frequency	[2]Number of sites	[3]ts/tv
0.000000	392	1.419753
0.090000	3	0.500000
0.170000	7	2.500000
0.270000	11	0.833333
0.350000	9	2.000000
0.430000	382	1.748201
0.520000	27	2.375000
0.610000	21	3.200000
0.690000	21	4.250000
0.910000	35	2.888889
