# [1]Allele frequency	[2]Number of sites	[3]ts/tv
0.000000	332	1.321678
0.084112	10	0.250000
0.177570	11	0.100000
0.271028	23	1.555556
0.364486	17	3.250000
0.448598	622	1.814480
0.532710	56	1.153846
0.616822	22	4.500000
0.700935	12	1.400000
0.803738	1	0.000000
0.971963	4	1.000000
