# [1]id	[2]Nonref Allele Frequency	[3]Number of sites
0	0.000000	286
0	1.869159	73
0	3.738318	62
0	5.607477	62
0	7.476636	44
0	9.345794	42
0	11.214953	36
0	13.084112	24
0	14.953271	36
0	16.822430	19
0	18.691589	9
0	20.560748	11
0	22.429907	5
0	24.299065	2
0	26.168224	1
0	28.037383	3
0	29.906542	4
0	31.775701	3
0	33.644860	3
0	35.514019	2
0	37.383178	5
0	39.252336	1
0	42.990654	2
0	45.794393	1
0	48.598131	1
0	96.261682	4
