# [1]Quality	[2]Number of sites	[3]Marginal Ts/Tv
998	320	1.622951
995	356	2.272727
868	392	1.400000
707	428	1.571429
548	464	2.600000
444	501	1.846154
351	537	1.571429
292	573	2.000000
225	610	2.083333
170	646	3.000000
110	682	1.117647
63	714	1.666667
