# [1]id	[2]Nonref Allele Frequency	[3]Number of sites
0	0.000000	80
0	1.869159	20
0	3.738318	17
0	5.607477	21
0	7.476636	15
0	9.345794	10
0	11.214953	9
0	13.084112	10
0	14.953271	19
0	16.822430	10
0	18.691589	2
0	22.429907	4
0	24.299065	3
0	26.168224	3
0	28.037383	6
0	29.906542	2
0	31.775701	3
0	33.644860	1
0	35.514019	1
0	37.383178	1
0	39.252336	1
0	41.121495	2
0	42.990654	4
0	48.598131	1
0	51.401869	1
0	53.271028	2
0	80.373832	2
0	96.261682	3
