# [1]Quality	[2]Number of sites	[3]Marginal Ts/Tv
998	112	1.113208
991	141	1.900000
670	170	2.222222
492	199	3.142857
421	228	3.142857
353	257	2.222222
316	286	1.636364
281	316	1.500000
238	346	1.142857
218	375	1.416667
187	404	2.222222
161	437	2.000000
127	466	1.416667
105	495	1.900000
89	527	1.909091
69	557	1.000000
34	566	0.800000
