# [1]id	[2]Nonref Allele Frequency	[3]Number of sites
0	0.000000	60
0	9.000000	1
0	14.000000	1
0	21.000000	2
0	24.000000	1
0	27.000000	1
0	29.000000	1
0	30.000000	1
0	31.000000	5
0	35.000000	2
0	37.000000	3
0	42.000000	1
0	43.000000	1
0	44.000000	82
0	49.000000	1
0	53.000000	2
0	54.000000	1
0	56.000000	3
0	57.000000	1
0	61.000000	1
0	69.000000	1
0	74.000000	1
0	82.000000	1
0	91.000000	6
