# [1]Indel length	[2]Count
-39	1
-33	1
-27	1
-23	1
-22	1
-19	2
-17	1
-11	1
-8	1
-7	2
-6	2
-5	2
-4	8
-3	11
-2	19
-1	38
1	41
2	16
3	13
4	5
5	1
6	1
8	1
10	1
12	1
14	1
16	1
17	1
19	1
60	4
