# [1]Allele frequency	[2]Number of sites	[3]ts/tv
0.000000	196	1.130435
0.090000	3	0.500000
0.170000	7	2.500000
0.270000	10	1.000000
0.350000	9	2.000000
0.430000	327	1.818966
0.520000	22	2.666667
0.610000	18	2.600000
0.690000	3	0.500000
0.910000	4	1.000000
