# [1]Allele frequency	[2]Number of sites	[3]ts/tv
0.000000	516	1.492754
0.084112	10	0.250000
0.177570	11	0.100000
0.271028	24	1.400000
0.364486	17	3.250000
0.448598	656	1.744770
0.532710	69	1.300000
0.616822	36	3.500000
0.700935	31	2.875000
0.803738	2	0.000000
0.971963	72	3.000000
