# [1]Quality	[2]Number of sites	[3]Marginal Ts/Tv
998	178	1.119048
997	249	3.733333
644	318	2.000000
490	388	1.258065
410	457	2.136364
345	526	1.379310
295	596	2.333333
255	668	2.130435
219	739	1.535714
189	809	2.500000
164	882	2.650000
144	956	1.846154
117	1029	2.173913
99	1106	1.200000
78	1206	2.333333
61	1292	1.687500
45	1362	1.333333
32	1374	1.000000
